date, aqi
2019/1/31, 
2019/2/1, 
2019/2/2, 
2019/2/3, 
2019/2/4, 
2019/2/5, 
2019/2/6, 
2019/2/7, 
2019/2/8, 
2019/2/9, 
2019/2/10, 
2019/2/11, 
2019/2/12, 
2019/2/13, 
2019/2/14, 
2019/2/15, 
2019/2/16, 
2019/2/17, 
2019/2/18, 
2019/2/19, 
2019/2/20, 
2019/2/21, 
2019/2/22, 
2019/2/23, 
2019/2/24, 
2019/2/25, 
2019/2/26, 
2019/2/27, 
2019/2/28, 
2019/3/1, 
2019/3/2, 
2019/3/3, 
2019/3/4, 
2019/3/5, 
2019/3/6, 
2019/3/7, 
2019/3/8, 
2019/3/9, 
2019/3/10, 
2019/3/11, 
2019/3/12, 
2019/3/13, 
2019/3/14, 
2019/3/15, 
2019/3/16, 
2019/3/17, 
2019/3/18, 
2019/3/19, 
2019/3/20, 
2019/3/21, 
2019/3/22, 
2019/3/23, 
2019/3/24, 
2019/3/25, 
2019/3/26, 
2019/3/27, 
2019/3/28, 
2019/3/29, 
2019/3/30, 
2019/3/31, 
2018/10/1, 76
2018/10/2, 70
2018/10/3, 63
2018/10/4, 65
2018/10/5, 65
2018/10/6, 69
2018/10/7, 64
2018/10/8, 58
2018/10/9, 57
2018/10/10, 54
2018/10/11, 55
2018/10/12, 47
2018/10/13, 50
2018/10/14, 42
2018/10/15, 47
2018/10/16, 57
2018/10/17, 57
2018/10/18, 52
2018/10/19, 52
2018/10/20, 53
2018/10/21, 57
2018/10/22, 59
2018/10/23, 63
2018/10/24, 60
2018/10/25, 56
2018/10/26, 58
2018/10/27, 58
2018/10/28, 56
2018/10/29, 58
2018/10/30, 59
2018/10/31, 58
2018/11/1, 60
2018/11/2, 59
2018/11/3, 58
2018/11/4, 56
2018/11/5, 54
2018/11/6, 57
2018/11/7, 58
2018/11/8, 56
2018/11/9, 58
2018/11/10, 56
2018/11/11, 58
2018/11/12, 55
2018/11/13, 59
2018/11/14, 57
2018/11/15, 58
2018/11/16, 55
2018/11/17, 65
2018/11/18, 67
2018/11/19, 59
2018/11/20, 56
2018/11/21, 52
2018/11/22, 50
2018/11/23, 59
2018/11/24, 65
2018/11/25, 57
2018/11/26, 56
2018/11/27, 55
2018/11/28, 61
2018/11/29, 64
2018/11/30, 57
2018/12/1, 60
2018/12/2, 56
2018/12/3, 55
2018/12/4, 58
2018/12/5, 57
2018/12/6, 57
2018/12/7, 57
2018/12/8, 55
2018/12/9, 58
2018/12/10, 56
2018/12/11, 55
2018/12/12, 55
2018/12/13, 56
2018/12/14, 57
2018/12/15, 55
2018/12/16, 55
2018/12/17, 52
2018/12/18, 56
2018/12/19, 60
2018/12/20, 61
2018/12/21, 61
2018/12/22, 62
2018/12/23, 59
2018/12/24, 58
2018/12/25, 58
2018/12/26, 55
2018/12/27, 55
2018/12/28, 58
2018/12/29, 57
2018/12/30, 57
2018/7/1, 25
2018/7/2, 19
2018/7/3, 35
2018/7/4, 49
2018/7/5, 35
2018/7/6, 30
2018/7/7, 40
2018/7/8, 39
2018/7/9, 33
2018/7/10, 31
2018/7/11, 33
2018/7/12, 47
2018/7/13, 42
2018/7/14, 40
2018/7/15, 34
2018/7/16, 36
2018/7/17, 49
2018/7/18, 47
2018/7/19, 44
2018/7/20, 32
2018/7/21, 33
2018/7/22, 43
2018/7/23, 33
2018/7/24, 39
2018/7/25, 31
2018/7/26, 31
2018/7/27, 41
2018/7/28, 42
2018/7/29, 40
2018/7/30, 26
2018/7/31, 29
2018/8/1, 29
2018/8/2, 24
2018/8/3, 30
2018/8/4, 46
2018/8/5, 48
2018/8/6, 33
2018/8/7, 34
2018/8/8, 30
2018/8/9, 33
2018/8/10, 33
2018/8/11, 32
2018/8/12, 31
2018/8/13, 37
2018/8/14, 50
2018/8/15, 40
2018/8/16, 58
2018/8/17, 81
2018/8/18, 80
2018/8/19, 72
2018/8/20, 68
2018/8/21, 69
2018/8/22, 67
2018/8/23, 56
2018/8/24, 59
2018/8/25, 60
2018/8/26, 68
2018/8/27, 73
2018/8/28, 68
2018/8/29, 59
2018/8/30, 56
2018/8/31, 60
2018/9/1, 56
2018/9/2, 56
2018/9/3, 57
2018/9/4, 58
2018/9/5, 57
2018/9/6, 65
2018/9/7, 59
2018/9/8, 60
2018/9/9, 58
2018/9/10, 56
2018/9/11, 59
2018/9/12, 60
2018/9/13, 59
2018/9/14, 65
2018/9/15, 67
2018/9/16, 64
2018/9/17, 65
2018/9/18, 73
2018/9/19, 81
2018/9/20, 62
2018/9/21, 55
2018/9/22, 55
2018/9/23, 56
2018/9/24, 65
2018/9/25, 69
2018/9/26, 70
2018/9/27, 64
2018/9/28, 64
2018/9/29, 69
2018/9/30, 79
2018/4/1, 43
2018/4/2, 34
2018/4/3, 41
2018/4/4, 45
2018/4/5, 50
2018/4/6, 53
2018/4/7, 46
2018/4/8, 40
2018/4/9, 28
2018/4/10, 33
2018/4/11, 35
2018/4/12, 42
2018/4/13, 54
2018/4/14, 42
2018/4/15, 38
2018/4/16, 26
2018/4/17, 33
2018/4/18, 37
2018/4/19, 32
2018/4/20, 39
2018/4/21, 33
2018/4/22, 41
2018/4/23, 38
2018/4/24, 33
2018/4/25, 34
2018/4/26, 24
2018/4/27, 31
2018/4/28, 34
2018/4/29, 32
2018/4/30, 28
2018/5/1, 36
2018/5/2, 32
2018/5/3, 32
2018/5/4, 35
2018/5/5, 29
2018/5/6, 35
2018/5/7, 31
2018/5/8, 39
2018/5/9, 37
2018/5/10, 32
2018/5/11, 29
2018/5/12, 28
2018/5/13, 28
2018/5/14, 28
2018/5/15, 31
2018/5/16, 39
2018/5/17, 38
2018/5/18, 33
2018/5/19, 39
2018/5/20, 28
2018/5/21, 24
2018/5/22, 35
2018/5/23, 38
2018/5/24, 32
2018/5/25, 33
2018/5/26, 42
2018/5/27, 27
2018/5/28, 30
2018/5/29, 35
2018/5/31, 28
