date, aqi
2018/8/17, 59
2018/8/18, 59
2018/8/19, 62
2018/8/20, 57
2018/8/21, 56
2018/8/22, 54
2018/8/23, 54
2018/8/24, 54
2018/8/25, 52
2018/8/26, 47
2018/8/27, 54
2018/8/28, 58
2018/8/29, 61
2018/8/30, 56
2018/8/31, 50
2018/9/1, 53
2018/9/2, 52
2018/9/3, 55
2018/9/4, 53
2018/9/5, 52
2018/9/6, 54
2018/9/7, 54
2018/9/8, 48
2018/9/9, 45
2018/9/10, 48
2018/9/11, 56
2018/9/12, 43
2018/9/13, 51
2018/9/14, 56
2018/9/15, 57
2018/9/16, 57
2018/9/17, 54
2018/9/18, 54
2018/9/19, 52
2018/9/20, 56
2018/9/21, 55
2018/9/22, 52
2018/9/23, 49
2018/9/24, 53
2018/9/25, 56
2018/9/26, 55
2018/9/27, 55
2018/9/28, 54
2018/9/29, 58
2018/9/30, 57
2018/4/1, 33
2018/4/2, 35
2018/4/3, 33
2018/4/4, 30
2018/4/5, 26
2018/4/6, 26
2018/4/7, 28
2018/4/8, 24
2018/4/9, 23
2018/4/10, 25
2018/4/11, 28
2018/4/12, 38
2018/4/13, 25
2018/4/14, 22
2018/4/15, 20
2018/4/16, 14
2018/4/17, 11
2018/4/18, 20
2018/4/19, 21
2018/4/20, 25
2018/4/21, 24
2018/4/22, 26
2018/4/23, 31
2018/4/24, 33
2018/4/25, 51
2018/4/26, 38
2018/4/27, 22
2018/4/28, 19
2018/4/29, 21
2018/4/30, 23
2018/5/1, 21
2018/5/2, 18
2018/5/3, 23
2018/5/4, 29
2018/5/5, 26
2018/5/6, 30
2018/5/7, 23
2018/5/8, 24
2018/5/9, 25
2018/5/10, 19
2018/5/11, 24
2018/5/12, 20
2018/5/13, 21
2018/5/14, 21
2018/5/15, 20
2018/5/16, 18
2018/5/17, 36
2018/5/19, 33
2018/5/20, 36
2018/5/21, 28
2018/5/22, 26
2018/5/23, 24
2018/5/24, 15
2018/5/25, 16
2018/5/26, 18
2018/5/27, 16
2018/5/28, 15
2018/5/29, 15
2018/5/30, 18
2018/5/31, 21
2018/6/1, 24
2018/6/2, 30
2018/6/3, 26
2018/6/4, 33
2018/6/5, 33
2018/6/6, 34
2018/6/7, 33
2018/6/8, 33
2018/6/9, 39
2018/6/10, 36
2018/6/11, 30
2018/6/12, 33
2018/6/13, 27
2018/6/14, 20
2018/6/15, 19
2018/6/16, 15
2018/6/17, 19
2018/6/18, 18
2018/6/19, 17
2018/6/20, 18
2018/6/21, 16
2018/6/22, 16
2018/6/23, 17
2018/6/24, 16
2018/6/25, 14
2018/6/26, 23
2018/6/27, 27
2018/6/28, 12
2018/6/29, 14
2018/6/30, 13
2018/1/1, 30
2018/1/2, 30
2018/1/3, 33
2018/1/4, 16
2018/1/5, 20
2018/1/6, 26
2018/1/7, 30
2018/1/9, 28
2018/1/11, 14
2018/1/12, 10
2018/1/13, 8
2018/1/14, 11
2018/1/15, 12
2018/1/16, 14
2018/1/17, 16
2018/1/18, 19
2018/1/19, 20
2018/1/20, 18
2018/1/21, 22
2018/1/22, 28
2018/1/23, 14
2018/1/24, 12
2018/1/25, 12
2018/1/26, 15
2018/1/27, 13
2018/1/28, 14
2018/1/29, 18
2018/1/30, 20
2018/1/31, 18
2018/2/1, 18
2018/2/2, 17
2018/2/3, 17
2018/2/4, 24
2018/2/5, 28
2018/2/6, 29
2018/2/7, 28
2018/2/8, 29
2018/2/9, 37
2018/2/10, 33
2018/2/11, 32
2018/2/12, 36
2018/2/13, 22
2018/2/14, 19
2018/2/15, 24
2018/2/16, 25
2018/2/17, 24
2018/2/18, 27
2018/2/19, 28
2018/2/20, 21
2018/2/21, 22
2018/2/22, 20
2018/2/23, 24
2018/2/24, 14
2018/2/25, 13
2018/2/26, 21
2018/2/27, 22
2018/2/28, 18
2018/3/1, 17
2018/3/2, 16
2018/3/3, 15
2018/3/4, 17
2018/3/5, 18
2018/3/6, 20
2018/3/7, 20
2018/3/8, 32
2018/3/9, 15
2018/3/10, 18
2018/3/11, 23
2018/3/12, 25
2018/3/13, 24
2018/3/14, 20
2018/3/15, 22
2018/3/16, 20
2018/3/17, 18
2018/3/18, 16
2018/3/19, 15
2018/3/20, 20
2018/3/21, 26
2018/3/22, 24
2018/3/23, 20
2018/3/24, 23
2018/3/25, 23
2018/3/26, 17
2018/3/27, 16
2018/3/28, 14
2018/3/29, 17
2018/3/30, 19
2018/3/31, 22
2017/10/5, 15
2017/10/6, 19
2017/10/7, 19
2017/10/8, 16
2017/10/9, 19
2017/10/10, 15
2017/10/11, 13
2017/10/12, 15
2017/10/13, 11
2017/10/14, 14
2017/10/15, 25
2017/10/16, 23
2017/10/17, 22
2017/10/18, 26
2017/10/19, 30
2017/10/20, 39
2017/10/21, 47
2017/10/22, 36
2017/10/23, 38
2017/10/24, 47
2017/10/25, 48
2017/10/26, 30
2017/10/27, 26
2017/10/28, 26
2017/10/29, 30
2017/12/12, 22
2017/12/13, 20
2017/12/14, 19
2017/12/15, 20
2017/12/16, 21
2017/12/17, 21
2017/12/18, 24
2017/12/19, 27
2017/12/20, 29
2017/12/21, 35
2017/12/22, 32
2017/12/23, 38
2017/12/24, 32
2017/12/25, 20
2017/12/26, 21
2017/12/27, 21
2017/12/28, 20
2017/12/29, 23
2017/12/30, 28
2017/7/7, 27
2017/7/8, 28
2017/7/9, 20
2017/7/10, 18
2017/7/11, 21
2017/7/12, 18
2017/7/13, 22
2017/7/14, 26
2017/7/15, 22
2017/7/16, 29
2017/7/17, 28
2017/7/18, 40
2017/8/27, 16
2017/8/28, 19
2017/8/29, 24
2017/8/30, 18
2017/8/31, 16
2017/9/1, 14
2017/9/2, 21
2017/9/3, 23
2017/9/4, 20
2017/9/5, 21
2017/9/6, 21
2017/9/11, 15
2017/9/12, 22
2017/9/13, 25
2017/9/14, 25
2017/9/15, 23
2017/9/16, 25
