date, aqi
2016/11/4, 34
2016/11/5, 41
2016/11/6, 37
2016/11/7, 37
2016/11/8, 42
2016/11/9, 48
2016/11/10, 44
2016/11/11, 36
2016/11/12, 35
2016/11/13, 38
2016/11/14, 30
2016/11/15, 44
2016/11/16, 42
2016/11/17, 44
2016/11/18, 44
2016/11/19, 41
2016/11/20, 34
2016/11/21, 29
2016/11/22, 35
2016/11/23, 37
2016/11/24, 50
2016/11/25, 51
2016/11/26, 49
2016/11/27, 48
2016/11/28, 31
2016/11/29, 26
2016/11/30, 28
2016/12/1, 40
2016/12/2, 31
2016/12/3, 26
2016/12/4, 33
2016/12/5, 37
2016/12/6, 46
2016/12/7, 49
2016/12/8, 52
2016/12/9, 52
2016/12/10, 50
2016/12/11, 36
2016/12/12, 31
2016/12/13, 38
2016/12/14, 46
2016/12/15, 46
2016/12/16, 54
2016/12/17, 54
2016/12/18, 58
2016/12/19, 38
2016/12/20, 25
2016/12/21, 27
2016/12/22, 35
2016/12/23, 36
2016/12/24, 35
2016/12/25, 38
2016/12/26, 32
2016/12/27, 32
2016/12/28, 33
2016/12/29, 43
2016/12/30, 51
2016/12/31, 40
2017/1/1, 32
2016/7/1, 61
2016/7/2, 62
2016/7/3, 61
2016/7/4, 59
2016/7/5, 54
2016/7/7, 37
2016/7/8, 37
2016/7/9, 29
2016/7/10, 39
2016/7/11, 45
2016/7/12, 43
2016/7/13, 53
2016/7/14, 43
2016/7/15, 44
2016/7/16, 48
2016/7/17, 40
2016/7/18, 21
2016/7/19, 26
2016/7/20, 25
2016/7/21, 34
2016/7/22, 33
2016/7/23, 31
2016/7/24, 36
2016/7/25, 38
2016/7/26, 46
2016/7/27, 46
2016/7/28, 49
2016/7/29, 48
2016/7/30, 51
2016/7/31, 52
2016/8/1, 49
2016/8/2, 53
2016/8/3, 52
2016/8/4, 50
2016/8/5, 51
2016/8/6, 51
2016/8/7, 47
2016/8/8, 47
2016/8/9, 60
2016/8/10, 58
2016/8/11, 53
2016/8/12, 46
2016/8/13, 52
2016/8/14, 41
2016/8/15, 45
2016/8/16, 58
2016/8/17, 67
2016/8/18, 55
2016/8/19, 62
2016/8/20, 69
2016/8/21, 65
2016/8/22, 55
2016/8/23, 45
2016/8/24, 38
2016/8/25, 45
2016/8/26, 40
2016/8/27, 46
2016/8/28, 58
2016/8/29, 64
2016/8/30, 81
2016/8/31, 37
2016/9/1, 42
2016/9/2, 42
2016/9/3, 44
2016/9/4, 39
2016/9/5, 34
2016/9/6, 34
2016/9/7, 34
2016/9/8, 34
2016/9/9, 38
2016/9/10, 44
2016/9/11, 52
2016/9/12, 42
2016/9/13, 38
2016/9/14, 47
2016/9/15, 46
2016/9/16, 47
2016/9/17, 40
2016/9/18, 35
2016/9/19, 25
2016/9/20, 31
2016/9/21, 33
2016/9/22, 34
2016/9/23, 36
2016/9/24, 40
2016/9/25, 43
2016/9/26, 46
2016/9/27, 47
2016/9/28, 35
2016/9/29, 32
2016/9/30, 34
2016/4/1, 82
2016/4/2, 65
2016/4/3, 52
2016/4/4, 53
2016/4/5, 60
2016/4/6, 62
2016/4/7, 70
2016/4/8, 80
2016/4/9, 85
2016/4/10, 80
2016/4/11, 58
2016/4/12, 43
2016/4/13, 48
2016/4/14, 47
2016/4/15, 57
2016/4/16, 56
2016/4/17, 54
2016/4/18, 54
2016/4/19, 56
2016/4/20, 62
2016/4/21, 81
2016/4/22, 84
2016/4/23, 99
2016/4/24, 76
2016/4/25, 63
2016/4/26, 68
2016/4/27, 67
2016/4/28, 69
2016/4/29, 73
2016/4/30, 64
2016/5/1, 63
2016/5/2, 67
2016/5/3, 64
2016/5/4, 55
2016/5/5, 53
2016/5/6, 48
2016/5/7, 51
2016/5/8, 42
2016/5/9, 53
2016/5/10, 55
2016/5/11, 54
2016/5/12, 53
2016/5/13, 43
2016/5/14, 50
2016/5/15, 37
2016/5/16, 35
2016/5/17, 55
2016/5/18, 48
2016/5/19, 48
2016/5/20, 56
2016/5/21, 50
2016/5/22, 40
2016/5/23, 49
2016/5/24, 47
2016/5/25, 44
2016/5/26, 50
2016/5/27, 53
2016/5/28, 50
2016/5/29, 43
2016/5/30, 33
2016/5/31, 41
2016/6/1, 44
2016/6/2, 50
2016/6/3, 61
2016/6/4, 46
2016/6/5, 55
2016/6/6, 57
2016/6/7, 58
2016/6/8, 51
2016/6/9, 48
2016/6/10, 47
2016/6/11, 43
2016/6/12, 40
2016/6/13, 36
2016/6/14, 50
2016/6/15, 50
2016/6/16, 41
2016/6/17, 35
2016/6/18, 26
2016/6/19, 41
2016/6/20, 33
2016/6/21, 44
2016/6/22, 37
2016/6/23, 44
2016/6/24, 37
2016/6/25, 39
2016/6/26, 38
2016/6/27, 35
2016/6/28, 46
2016/6/29, 52
2016/6/30, 61
2016/1/4, 48
2016/1/5, 50
2016/1/6, 52
2016/1/7, 44
2016/1/8, 41
2016/1/9, 42
2016/1/10, 52
2016/1/11, 58
2016/1/12, 55
2016/1/13, 50
2016/1/14, 48
2016/1/15, 47
2016/1/16, 50
2016/1/17, 45
2016/1/18, 41
2016/1/19, 42
2016/1/20, 40
2016/1/21, 35
2016/1/22, 37
2016/1/23, 42
2016/1/24, 37
2016/1/25, 26
2016/1/26, 26
2016/1/27, 23
2016/1/28, 31
2016/1/29, 41
2016/1/30, 38
2016/1/31, 44
2016/2/1, 30
2016/2/2, 36
2016/2/3, 33
2016/2/4, 29
2016/2/5, 30
2016/2/6, 32
2016/2/7, 26
2016/2/8, 34
2016/2/9, 42
2016/2/10, 46
2016/2/11, 36
2016/2/12, 39
2016/2/13, 34
2016/2/14, 28
2016/2/15, 30
2016/2/16, 36
2016/2/17, 35
2016/2/18, 41
2016/2/19, 37
2016/2/20, 37
2016/2/21, 46
2016/2/22, 58
2016/2/23, 58
